,max_Type,prop
ARL4D-ARPC1B,3,0.4074074074074074
GEN1-NFIL3,1,0.2962962962962963
CABIN1-RARA,5,0.4444444444444444
PSMC1-TUBB,3,0.4074074074074074
NEDD9-ABL2,5,0.37037037037037035
PGM1-UBE2C,2,0.4444444444444444
EIF3H-MRPL33,3,0.37037037037037035
SF1-ZC3H7B,3,0.37037037037037035
COIL-INTS2,5,0.4074074074074074
EIF3C-NDUFB1,5,0.3333333333333333
CAMK1G-XIAP,2,0.4444444444444444
HK3-RPRD1B,3,0.3333333333333333
ABHD17B-BRCA2,4,0.3333333333333333
KRAS-ZNF263,5,0.48148148148148145
LRP10-SERPINB6,5,0.4074074074074074
DDX18-MRPS35,3,0.2962962962962963
CHMP2A-GTF2H4,3,0.2962962962962963
DVL1-PCYOX1,5,0.37037037037037035
HLTF-SLC35A4,5,0.3333333333333333
RPA3-TRIP10,3,0.2962962962962963
RBM26-SLC39A4,5,0.5185185185185185
ARF1-MRPL13,5,0.4074074074074074
MED23-POLR3B,2,0.2962962962962963
PTEN-HIST1H1E,5,0.37037037037037035
CAPZA1-HADHA,5,0.37037037037037035
PTTG1-UBASH3B,4,0.37037037037037035
CATSPER1-RNASEL,3,0.3333333333333333
BCR-PDE4DIP,2,0.3333333333333333
ESYT2-PAK1IP1,5,0.48148148148148145
BLM-CLN8,5,0.4074074074074074
SPAG7-TTC4,5,0.4444444444444444
LRPPRC-SKI,5,0.5185185185185185
KRAS-PRELID1,3,0.37037037037037035
CHCHD3-ULK2,3,0.4444444444444444
HRAS-RFC3,2,0.4074074074074074
KRAS-SRSF9,5,0.37037037037037035
ADAMTSL4-ANP32B,3,0.37037037037037035
NUP153-SLC4A2,5,0.4074074074074074
KRAS-MDH1,3,0.37037037037037035
MASTL-TRRAP,5,0.3333333333333333
NUP35-RNF10,2,0.2222222222222222
DYNLRB1-NRAS,5,0.37037037037037035
ABCC10-DGKA,5,0.37037037037037035
MLH1-TSC1,5,0.5185185185185185
ANKRD13C-KRAS,5,0.37037037037037035
KDM2B-HRAS,3,0.37037037037037035
KRAS-VRK1,5,0.48148148148148145
DAP3-SNRPD3,5,0.37037037037037035
CAPZB-EIF3D,3,0.3333333333333333
GPR157-KRAS,3,0.37037037037037035
RFC3-MSH2,6,0.3333333333333333
MUS81-EIF3E,3,0.2962962962962963
PTTG1-IFT57,4,0.2962962962962963
CHMP2A-KCTD10,5,0.4444444444444444
TFG-WDR7,5,0.5185185185185185
KRAS-AP4S1,5,0.5185185185185185
DERL1-EMC2,5,0.3333333333333333
BRCA1-PTEN,2,0.25925925925925924
EIF4A1-MED28,5,0.4444444444444444
COX16-FTSJ3,5,0.3333333333333333
CD36-MEAF6,5,0.37037037037037035
ID3-PTCD1,1,0.4074074074074074
MAZ-TBC1D10B,5,0.4444444444444444
CCND3-GEN1,1,0.4074074074074074
PTTG1-TJP2,3,0.2962962962962963
RGS3-SLC19A2,2,0.2962962962962963
LAS1L-KRAS,5,0.4444444444444444
RBMS1-SIRT7,5,0.5185185185185185
HRAS-NUP205,5,0.48148148148148145
LPP-PAFAH1B3,5,0.3333333333333333
ELL-BRCA1,2,0.25925925925925924
RBM15-DDX11,3,0.25925925925925924
PARP1-PRR3,4,0.4074074074074074
EPB41-PCBP1,3,0.5555555555555556
CLASP1-NAE1,5,0.37037037037037035
PARP3-PRKAB2,4,0.37037037037037035
CDKN1A-EHMT2,5,0.37037037037037035
GNL3-PPARD,5,0.37037037037037035
ARF4-LMNA,5,0.4444444444444444
TRA2B-DDX46,5,0.3333333333333333
VCL-NUDT14,5,0.3333333333333333
KRAS-FNBP4,5,0.4074074074074074
FES-SRPK1,4,0.2962962962962963
LRRFIP2-PRUNE,5,0.3333333333333333
PRKAR1B-NRAS,5,0.3333333333333333
BOD1L1-LUC7L3,5,0.4074074074074074
DVL3-GSTP1,3,0.48148148148148145
MFHAS1-RGS19,5,0.2962962962962963
CD164-SLCO4A1,5,0.4444444444444444
PRPF31-ZNF576,5,0.2962962962962963
HMGA1-PLOD1,5,0.4074074074074074
KRAS-GEM,3,0.4074074074074074
PLCB3-YIPF4,5,0.48148148148148145
HNRNPA2B1-ZNF273,5,0.37037037037037035
BRCA2-ELK4,4,0.3333333333333333
BDP1-NCAPD2,4,0.2962962962962963
BRCA1-CCNE1,6,0.4074074074074074
CFLAR-MYC,5,0.48148148148148145
KRAS-TRAF5,5,0.4444444444444444
MUS81-BATF3,3,0.3333333333333333
CASP3-EGR1,3,0.2962962962962963
INTS5-NAA25,5,0.4074074074074074
ELP4-NSMCE4A,5,0.3333333333333333
MAPKAPK2-PRKCZ,2,0.2962962962962963
FIZ1-TRIM28,5,0.4444444444444444
CEBPD-PRR11,1,0.2962962962962963
PPARA-NFKB2,3,0.4444444444444444
BCR-CPSF1,5,0.25925925925925924
ZC3H13-KRAS,5,0.5555555555555556
IGF2R-MYC,5,0.5185185185185185
GTF3C1-ZNF500,1,0.4444444444444444
KRAS-PSMC3,5,0.4074074074074074
LRP12-TP53,5,0.2962962962962963
EMC2-NACA,4,0.2962962962962963
GTF2H5-PTGS1,4,0.3333333333333333
PTPRN2-TFG,5,0.5185185185185185
KRAS-PRKRA,5,0.4444444444444444
NAE1-TGFB1,5,0.37037037037037035
CSF2RB-NAE1,4,0.37037037037037035
CYBRD1-RPP40,1,0.2962962962962963
CDC37L1-NRAS,5,0.2962962962962963
FGL2-NRAS,5,0.3333333333333333
RNF139-BRCA1,2,0.25925925925925924
CYFIP1-NRAS,5,0.4074074074074074
CCT2-PIK3C3,5,0.37037037037037035
GBGT1-KRAS,5,0.5555555555555556
BRCA1-MDM4,2,0.3333333333333333
CSK-NDFIP1,4,0.4074074074074074
CDCA7L-LNPEP,4,0.2962962962962963
CITED2-DTX2,5,0.4444444444444444
OSBPL2-SLC16A1,3,0.2962962962962963
SLC39A13-THBS1,5,0.37037037037037035
NAE1-RBBP6,5,0.37037037037037035
CEP152-RBM15,3,0.3333333333333333
LY75-MGAT4B,3,0.3333333333333333
DNAJB6-DLG1,3,0.37037037037037035
CDK12-PIK3CD,5,0.3333333333333333
EIF3D-RNGTT,5,0.3333333333333333
BLM-RPL14,3,0.25925925925925924
CKAP5-MCM3AP,5,0.4444444444444444
MYOF-PINK1,3,0.3333333333333333
HNMT-MAD1L1,5,0.4074074074074074
ACY1-PRKDC,4,0.3333333333333333
RETSAT-TMEM79,2,0.3333333333333333
PRCP-PTCD1,1,0.48148148148148145
INTS5-PRMT5,5,0.37037037037037035
PRKD2-SLC29A1,5,0.37037037037037035
CDK9-ING5,5,0.4074074074074074
BLM-ACO1,4,0.37037037037037035
MAPKAP1-NACA,3,0.2962962962962963
HSF1-PQLC3,5,0.3333333333333333
CDK4-PARP1,5,0.37037037037037035
SLC39A1-WHSC1L1,5,0.4444444444444444
TCAF2-HRAS,2,0.3333333333333333
FCGR1A-KRAS,5,0.37037037037037035
CLPX-RPL4,4,0.3333333333333333
POLE-UNG,1,0.37037037037037035
CDK12-TSPO,5,0.4074074074074074
FH-PPWD1,4,0.3333333333333333
CREB3-TPM1,5,0.37037037037037035
RGS19-ZDHHC2,4,0.2962962962962963
BTG2-SESN1,3,0.37037037037037035
HRAS-NDUFV2,3,0.2962962962962963
HMGB2-SKP2,5,0.2962962962962963
BBS7-FSCN1,3,0.48148148148148145
WEE1-MTOR,1,0.2962962962962963
GNE-PTEN,5,0.4074074074074074
CD163-RUSC1,5,0.3333333333333333
PTTG1-POFUT1,4,0.37037037037037035
CDK5-HMGA1,5,0.5555555555555556
GPN3-RER1,5,0.4074074074074074
BCL2L1-TNFRSF10B,5,0.4074074074074074
ABL1-STAT3,5,0.4074074074074074
MRPS22-TNFSF14,5,0.5925925925925926
PTEN-FBXL15,5,0.4444444444444444
ERO1A-NAE1,5,0.4074074074074074
CPSF1-SYNJ1,5,0.4074074074074074
MED28-TTC4,5,0.4444444444444444
LMNA-VTA1,5,0.4074074074074074
PRKAR1A-RPS6KA2,5,0.3333333333333333
ADCK2-TSC22D2,5,0.48148148148148145
ARL2-PMF1,5,0.4444444444444444
PPM1G-RNF130,3,0.3333333333333333
ATP6V0E1-CSF1R,4,0.3333333333333333
XPO7-MED17,5,0.5185185185185185
CRK-ABL1,5,0.4444444444444444
BRCA2-STMN1,3,0.3333333333333333
INO80D-PUM2,5,0.6296296296296297
AURKA-SNRNP200,5,0.4074074074074074
NCAPG2-SERPING1,3,0.4074074074074074
PTPN12-STK32C,5,0.48148148148148145
PIK3CA-PTEN,5,0.48148148148148145
CAPRIN1-GLUD1,5,0.37037037037037035
CMPK1-MAP3K1,5,0.48148148148148145
BCR-TBCCD1,3,0.25925925925925924
BCL2L1-TLR1,4,0.3333333333333333
IMPA1-PEX2,5,0.37037037037037035
MEMO1-PGM1,5,0.4074074074074074
RIN2-SRGAP1,5,0.4444444444444444
DHRS13-NFKB2,3,0.2962962962962963
PSMC1-SSBP1,5,0.4444444444444444
FH-RPLP2,3,0.3333333333333333
RASA3-UBQLN4,5,0.4074074074074074
HSF1-SDPR,5,0.3333333333333333
CSK-TMEM248,5,0.37037037037037035
FH-NUP85,5,0.3333333333333333
MYC-TICAM2,5,0.3333333333333333
LLPH-MPZ,2,0.2962962962962963
BSG-CSF3R,5,0.3333333333333333
COG6-PTAR1,5,0.3333333333333333
SORT1-TARBP2,4,0.3333333333333333
LEO1-MAT2A,5,0.2962962962962963
KRAS-NXF1,5,0.4444444444444444
PTTG1-MTMR1,3,0.3333333333333333
SND1-PTEN,5,0.48148148148148145
CENPP-ZWINT,3,0.2222222222222222
DVL1-FBXO11,5,0.4444444444444444
HDLBP-ARRB2,5,0.4074074074074074
ZNF134-ZNF419,2,0.5185185185185185
ANKRD17-DAGLB,5,0.4074074074074074
HRAS-KCMF1,5,0.48148148148148145
SLC39A1-TRAF6,3,0.4074074074074074
CSF1R-FOSL1,3,0.4444444444444444
MASTL-SPAG7,5,0.4074074074074074
PHACTR1-TRPC4AP,5,0.5185185185185185
KRAS-CLP1,5,0.2962962962962963
FARSA-PRIM2,5,0.5185185185185185
PSMB7-TTC4,5,0.4074074074074074
NRAS-RBBP6,5,0.4444444444444444
SNRNP70-CRY2,4,0.3333333333333333
DENND4A-RPL4,3,0.4074074074074074
CCNE2-RRAD,5,0.25925925925925924
EPS8-IL13RA1,4,0.3333333333333333
PIK3CG-SLC2A1,5,0.4074074074074074
PELO-TUBGCP4,5,0.4444444444444444
MED23-POLD1,3,0.3333333333333333
DDB1-MEN1,5,0.37037037037037035
IGF2BP3-S1PR1,6,0.4444444444444444
NAE1-PALB2,2,0.3333333333333333
IARS2-RNF14,5,0.4444444444444444
CYB5R4-TAB2,5,0.48148148148148145
BCL2L1-LIG1,5,0.2962962962962963
SPNS1-TES,5,0.37037037037037035
ABL2-CD151,5,0.48148148148148145
DNAJB6-MAPRE1,5,0.4444444444444444
EXOSC6-FH,5,0.4444444444444444
COQ2-ZWINT,1,0.2222222222222222
PINK1-KRAS,5,0.3333333333333333
CSK-POU2F1,5,0.4074074074074074
METAP2-OGFOD1,5,0.4074074074074074
NDUFA2-PELO,5,0.4074074074074074
PLA2G15-TRRAP,3,0.37037037037037035
DHFR-MSH6,5,0.3333333333333333
MLKL-RNF115,5,0.37037037037037035
KRAS-MMEL1,2,0.5555555555555556
COPE-EIF3C,5,0.3333333333333333
CASP8-KRAS,5,0.5185185185185185
SERBP1-SF3A3,5,0.3333333333333333
KRAS-COPS8,5,0.4074074074074074
CENPE-TOPBP1,2,0.2222222222222222
PTEN-LAP3,3,0.4444444444444444
ZFC3H1-HRAS,5,0.4444444444444444
BLM-DPP9,5,0.37037037037037035
HNRNPA2B1-PLD2,3,0.3333333333333333
APC-VHL,5,0.4444444444444444
PTTG1-TRMT5,3,0.2962962962962963
NAE1-UBE2C,1,0.3333333333333333
IDUA-LRCH3,3,0.3333333333333333
EIF3F-PTPN12,3,0.2962962962962963
CRADD-NAE1,5,0.4444444444444444
MRFAP1L1-ILF2,4,0.3333333333333333
BIRC3-FLI1,3,0.4074074074074074
TPX2-XPO1,2,0.4074074074074074
COG3-NFE2L1,5,0.48148148148148145
MAST2-NANP,5,0.37037037037037035
CARD11-NAE1,4,0.2962962962962963
IGF1R-SKP2,5,0.2962962962962963
PTTG1-MED9,3,0.2962962962962963
COG3-NACA,3,0.3333333333333333
DLGAP3-NANP,5,0.2962962962962963
HM13-WDR36,3,0.3333333333333333
EIF2AK2-KRAS,5,0.48148148148148145
PTEN-GPX4,3,0.5555555555555556
CAMK2G-TYK2,5,0.37037037037037035
HSF1-MANEA,5,0.3333333333333333
LONRF3-S100A11,5,0.48148148148148145
LARP7-UBA6,5,0.4444444444444444
CORO2A-F11R,4,0.25925925925925924
INF2-ZNF273,5,0.4074074074074074
CREB5-NOP16,5,0.37037037037037035
CDKN1A-MYC,5,0.5185185185185185
RPL26-YWHAZ,3,0.37037037037037035
CTNNBL1-DUSP18,5,0.4074074074074074
GTF3C3-SNIP1,5,0.2962962962962963
LPP-MRPL37,5,0.3333333333333333
CDC7-CCNF,6,0.7777777777777778
GAPDH-PGAM1,5,0.3333333333333333
EHMT2-CEP131,5,0.2962962962962963
PTTG1-LYRM5,4,0.3333333333333333
LY96-MTL5,2,0.4444444444444444
PTEN-SLC38A9,5,0.4074074074074074
MUS81-FXYD1,1,0.37037037037037035
CENPP-NOL8,5,0.25925925925925924
PACS2-STRN4,5,0.3333333333333333
PTTG1-CSNK1E,3,0.2962962962962963
ACLY-PDK4,5,0.37037037037037035
BAZ1A-PRPF39,3,0.3333333333333333
GNS-LRCH4,5,0.3333333333333333
KRAS-RPS4X,3,0.3333333333333333
EXOC5-RRN3,5,0.5555555555555556
ARPC3-PGM1,3,0.4444444444444444
ABHD11-ANO6,5,0.4074074074074074
AKR1A1-KRAS,3,0.4444444444444444
MED24-NACA,3,0.2962962962962963
ARIH1-TUBB,3,0.48148148148148145
NAE1-PFDN5,5,0.2962962962962963
ARID1B-NEURL2,2,0.4074074074074074
BOD1L1-NUDC,5,0.5185185185185185
BMF-NAE1,5,0.37037037037037035
ASB1-SQLE,4,0.4074074074074074
NRAS-SCFD1,5,0.4444444444444444
ARPC4-MYC,5,0.4444444444444444
TTC3-NRAS,5,0.5185185185185185
PAK1IP1-RIOK1,5,0.4444444444444444
RAD17-URI1,5,0.37037037037037035
GALNS-UBR5,5,0.4074074074074074
AHCYL2-EIF3I,5,0.3333333333333333
NIPAL2-TRIB3,5,0.4074074074074074
ARPC1A-KLHL12,5,0.37037037037037035
ABL1-ALDOC,5,0.37037037037037035
ANKRD40-SRRT,5,0.37037037037037035
MCPH1-TSC1,5,0.48148148148148145
FAM3C-NAE1,5,0.3333333333333333
FH-NCBP1,5,0.3333333333333333
ECH1-NRAS,5,0.4074074074074074
E4F1-MAZ,5,0.37037037037037035
HN1L-MARCO,3,0.3333333333333333
PTEN-MRPL30,5,0.4444444444444444
PRDM2-PTCD1,2,0.48148148148148145
CDK12-PARP1,5,0.4074074074074074
LARS2-PIK3CD,3,0.3333333333333333
BIRC5-SLC16A5,2,0.4074074074074074
CCND3-ZNF107,3,0.2962962962962963
ANAPC13-AURKA,5,0.5185185185185185
MTF1-PTCD1,2,0.5555555555555556
KRAS-ITFG1,5,0.4074074074074074
CMPK1-LMTK2,2,0.2962962962962963
PTGS1-SYT11,5,0.4444444444444444
IGHMBP2-RAD23B,5,0.37037037037037035
EXOSC4-BRCA1,2,0.25925925925925924
CSGALNACT2-MYC,5,0.5555555555555556
AZI2-DYNC1LI1,5,0.5185185185185185
CDK7-XRCC4,5,0.4074074074074074
GALNS-IKBKB,5,0.4074074074074074
FAM114A1-DSTN,5,0.3333333333333333
XRCC1-PARP1,5,0.37037037037037035
DUSP22-RPN1,4,0.2962962962962963
GOLT1B-NUP54,5,0.4444444444444444
CAMK2G-PDK2,5,0.37037037037037035
PIK3CA-TBL1XR1,5,0.4074074074074074
BCR-PLCB1,4,0.25925925925925924
HRAS-PSMB6,3,0.3333333333333333
HEXA-TTPAL,3,0.2962962962962963
NAE1-ZC3HC1,5,0.3333333333333333
LSM2-MYC,5,0.37037037037037035
DAP3-KCTD10,5,0.48148148148148145
FFAR3-ZKSCAN1,4,0.25925925925925924
CCNI-RIPK2,3,0.3333333333333333
FBXL19-RTN4,2,0.4074074074074074
KRAS-NUBP2,5,0.4444444444444444
PTEN-COPZ1,5,0.4444444444444444
EXOG-WDR48,5,0.5185185185185185
DDX10-SYNE2,2,0.4444444444444444
DIABLO-LXN,5,0.2962962962962963
PARP3-YARS2,5,0.3333333333333333
TUBA1A-ING5,5,0.3333333333333333
ANKRD26-HRAS,5,0.48148148148148145
CARM1-PLSCR1,5,0.4444444444444444
SMAD4-WEE1,1,0.2962962962962963
MRPS27-RPL13,3,0.3333333333333333
CSK-VKORC1,3,0.2962962962962963
MGAT4B-ROCK2,5,0.4444444444444444
SCRIB-UTRN,4,0.25925925925925924
CREBBP-TSC1,5,0.48148148148148145
ELOVL5-HGS,5,0.3333333333333333
RETSAT-UBQLN4,5,0.2962962962962963
ABL1-PARP2,1,0.18518518518518517
